Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Tawny-bellied Babbler,Dumetia hyperythra,Resident,Least Concern,Large,Moderate,Passeriformes,Timaliidae,Not endemic
Blue-eared Kingfisher,Alcedo meninting,Resident,Least Concern,Moderate,Low,Coraciiformes,Alcedinidae,Not endemic
Blue-cheeked Bee-eater,Merops persicus,SummerMigrant,Least Concern,Moderate,Low,Coraciiformes,Meropidae,Not endemic
Blue-capped Rock-Thrush,Monticola cinclorhyncha,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Muscicapidae,Not endemic
Blue-bearded Bee-eater,Nyctyornis athertoni,Resident,Least Concern,Large,Low,Coraciiformes,Meropidae,Not endemic
Blue Rock-Thrush,Monticola solitarius,WinterMigrant,Least Concern,Large,Moderate,Passeriformes,Muscicapidae,Not endemic
Black-winged Stilt,Himantopus himantopus,Resident,Least Concern,Large,Low,Charadriiformes,Recurvirostridae,Not endemic
Black-winged Kite,Elanus caeruleus,Resident,Least Concern,Very Large,Low,Accipitriformes,Accipitridae,Not endemic
Tickell's Blue Flycatcher,Cyornis tickelliae,Resident,Least Concern,Large,Low,Passeriformes,Muscicapidae,Not endemic
Black-tailed Godwit,Limosa limosa,WinterMigrant,Near Threatened,Large,Low,Charadriiformes,Scolopacidae,Not endemic
Tricolored Munia,Lonchura malacca,Resident,Least Concern,Large,Moderate,Passeriformes,Estrildidae,Not endemic
Black-naped Oriole,Oriolus chinensis,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Oriolidae,Not endemic
Black-naped Monarch,Hypothymis azurea,Resident,Least Concern,Large,Moderate,Passeriformes,Monarchidae,Not endemic
Black-hooded Oriole,Oriolus xanthornus,Resident,Least Concern,Large,Low,Passeriformes,Oriolidae,Not endemic
Black-headed Ibis,Threskiornis melanocephalus,Resident,Near Threatened,Very Large,Low,Pelecaniformes,Threskiornithidae,Not endemic
Black-headed Gull,Chroicocephalus ridibundus,WinterMigrant,Least Concern,Large,Moderate,Charadriiformes,Laridae,Not endemic
White-bellied Drongo,Dicrurus caerulescens,Resident,Least Concern,Large,Moderate,Passeriformes,Dicruridae,Not endemic
Black-crowned Night-Heron,Nycticorax nycticorax,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic
Black-capped Kingfisher,Halcyon pileata,WinterMigrant,Least Concern,Moderate,Moderate,Coraciiformes,Alcedinidae,Not endemic
Black-bellied Plover,Pluvialis squatarola,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Charadriidae,Not endemic
Black-backed Dwarf-Kingfisher,Ceyx erithaca,WinterMigrant,Least Concern,Restricted,Moderate,Coraciiformes,Alcedinidae,Not endemic
Black-and-orange Flycatcher,Ficedula nigrorufa,Resident,Least Concern,Restricted,Moderate,Passeriformes,Muscicapidae,Western Ghats
