Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Pallas's Gull,Ichthyaetus ichthyaetus,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Laridae,Not endemic
Indian Nuthatch,Sitta castanea,Resident,Least Concern,Moderate,High,Passeriformes,Sittidae,Not endemic
Palani Laughingthrush,Montecincla fairbanki,Resident,Near Threatened,Restricted,Moderate,Passeriformes,Leiothrichidae,Western Ghats
Painted Stork,Mycteria leucocephala,Resident,Near Threatened,Very Large,Moderate,Ciconiiformes,Ciconiidae,Not endemic
Painted Spurfowl,Galloperdix lunulata,Resident,Least Concern,Moderate,Moderate,Galliformes,Phasianidae,Not endemic
Painted Bush-Quail,Perdicula erythrorhyncha,Resident,Least Concern,Restricted,Moderate,Galliformes,Phasianidae,Not endemic
Paddyfield Warbler,Acrocephalus agricola,WinterMigrant,Least Concern,Large,Low,Passeriformes,Acrocephalidae,Not endemic
Paddyfield Pipit,Anthus rufulus,Resident,Least Concern,Very Large,Low,Passeriformes,Motacillidae,Not endemic
Pacific Golden-Plover,Pluvialis fulva,WinterMigrant,Least Concern,Moderate,High,Charadriiformes,Charadriidae,Not endemic
Osprey,Pandion haliaetus,WinterMigrant,Least Concern,Large,Low,Accipitriformes,Pandionidae,Not endemic
Indian White-eye,Zosterops palpebrosus,Resident,Least Concern,Very Large,Low,Passeriformes,Zosteropidae,Not endemic
Oriental Turtle-Dove,Streptopelia orientalis,WinterMigrant,Least Concern,Moderate,Low,Columbiformes,Columbidae,Not endemic
Oriental Skylark,Alauda gulgula,Resident,Least Concern,Large,Moderate,Passeriformes,Alaudidae,Not endemic
Oriental Magpie-Robin,Copsychus saularis,Resident,Least Concern,Very Large,Low,Passeriformes,Muscicapidae,Not endemic
Oriental Honey-buzzard,Pernis ptilorhynchus,Resident,Least Concern,Very Large,Low,Accipitriformes,Accipitridae,Not endemic
Oriental Darter,Anhinga melanogaster,Resident,Near Threatened,Very Large,Low,Suliformes,Anhingidae,Not endemic
Orange-headed Thrush,Geokichla citrina,Resident,Least Concern,Large,Moderate,Passeriformes,Turdidae,Not endemic
Orange-breasted Green-Pigeon,Treron bicinctus,Resident,Least Concern,Moderate,Low,Columbiformes,Columbidae,Not endemic
Indian Peafowl,Pavo cristatus,Resident,Least Concern,Very Large,Low,Galliformes,Phasianidae,Not endemic
Olive-backed Pipit,Anthus hodgsoni,WinterMigrant,Least Concern,Large,Moderate,Passeriformes,Motacillidae,Not endemic
Northern Shoveler,Spatula clypeata,WinterMigrant,Least Concern,Large,Low,Anseriformes,Anatidae,Not endemic
Northern Pintail,Anas acuta,WinterMigrant,Least Concern,Large,Low,Anseriformes,Anatidae,Not endemic
Changeable Hawk-Eagle,Nisaetus limnaeetus,Resident,Least Concern,Large,Low,Accipitriformes,Accipitridae,Not endemic
Nilgiri Wood-Pigeon,Columba elphinstonii,Resident,Vulnerable,Moderate,Moderate,Columbiformes,Columbidae,Western Ghats
Nilgiri Thrush,Zoothera neilgherriensis,Resident,Least Concern,Restricted,High,Passeriformes,Turdidae,Western Ghats
Nilgiri Pipit,Anthus nilghiriensis,Resident,Vulnerable,Restricted,High,Passeriformes,Motacillidae,Western Ghats
Nilgiri Laughingthrush,Montecincla cachinnans,Resident,Endangered,Very Restricted,High,Passeriformes,Leiothrichidae,Western Ghats
Nilgiri Flycatcher,Eumyias albicaudatus,Resident,Least Concern,Restricted,Moderate,Passeriformes,Muscicapidae,Western Ghats
Nilgiri Flowerpecker,Dicaeum concolor,Resident,Least Concern,Very Large,Moderate,Passeriformes,Dicaeidae,Western Ghats
Grey-headed Swamphen,Porphyrio poliocephalus,Resident,Least Concern,Moderate,Moderate,Gruiformes,Rallidae,Not endemic
Lesser Fish-Eagle,Haliaeetus humilis,Resident,Near Threatened,Moderate,Moderate,Accipitriformes,Accipitridae,Not endemic
Lesser Kestrel,Falco naumanni,WinterMigrant,Least Concern,Moderate,Moderate,Falconiformes,Falconidae,Not endemic
Sandwich Tern,Thalasseus sandvicensis,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Laridae,Not endemic
Mountain Imperial-Pigeon,Ducula badia,Resident,Least Concern,Moderate,Moderate,Columbiformes,Columbidae,Not endemic
Montagu's Harrier,Circus pygargus,WinterMigrant,Least Concern,Large,Moderate,Accipitriformes,Accipitridae,Not endemic
Marsh Sandpiper,Tringa stagnatilis,WinterMigrant,Least Concern,Large,Moderate,Charadriiformes,Scolopacidae,Not endemic
Malabar Woodshrike,Tephrodornis sylvicola,Resident,Least Concern,Moderate,Moderate,Passeriformes,Vangidae,Western Ghats
Malabar Whistling-Thrush,Myophonus horsfieldii,Resident,Least Concern,Moderate,Low,Passeriformes,Muscicapidae,Not endemic
Indian Pitta,Pitta brachyura,WinterMigrant,Least Concern,Large,Low,Passeriformes,Pittidae,Not endemic
Malabar Starling,Sturnia blythii,Resident,Least Concern,Moderate,Low,Passeriformes,Sturnidae,Western Ghats
Indian Robin,Copsychus fulicatus,Resident,Least Concern,Very Large,Low,Passeriformes,Muscicapidae,Not endemic
Malabar Parakeet,Psittacula columboides,Resident,Least Concern,Moderate,Moderate,Psittaciformes,Psittaculidae,Western Ghats
Malabar Lark,Galerida malabarica,Resident,Least Concern,Moderate,Moderate,Passeriformes,Alaudidae,Western Ghats
Malabar Grey Hornbill,Ocyceros griseus,Resident,Least Concern,Moderate,Moderate,Bucerotiformes,Bucerotidae,Western Ghats
Malabar Barbet,Psilopogon malabaricus,Resident,Least Concern,Moderate,Moderate,Piciformes,Megalaimidae,Western Ghats
Indian Swiftlet,Aerodramus unicolor,Resident,Least Concern,Moderate,Low,Caprimulgiformes,Apodidae,Western Ghats
Long-tailed Shrike,Lanius schach,Resident,Least Concern,Large,Moderate,Passeriformes,Laniidae,Not endemic
Long-billed Pipit,Anthus similis,Resident,Least Concern,Moderate,Low,Passeriformes,Motacillidae,Not endemic
Little Tern,Sternula albifrons,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Laridae,Not endemic
Little Stint,Calidris minuta,WinterMigrant,Least Concern,Large,Moderate,Charadriiformes,Scolopacidae,Not endemic
Little Spiderhunter,Arachnothera longirostra,Resident,Least Concern,Moderate,Moderate,Passeriformes,Nectariniidae,Not endemic
Little Grebe,Tachybaptus ruficollis,Resident,Least Concern,Very Large,Low,Podicipediformes,Podicipedidae,Not endemic
Little Egret,Egretta garzetta,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic
Little Cormorant,Microcarbo niger,Resident,Least Concern,Very Large,Low,Suliformes,Phalacrocoracidae,Not endemic
Lesser Yellownape,Picus chlorolophus,Resident,Least Concern,Large,Low,Piciformes,Picidae,Not endemic
Lesser Whitethroat,Sylvia curruca,WinterMigrant,Least Concern,Large,Low,Passeriformes,Sylviidae,Not endemic
Lesser Whistling-Duck,Dendrocygna javanica,Resident,Least Concern,Very Large,Low,Anseriformes,Anatidae,Not endemic
Lesser Sand-Plover,Charadrius mongolus,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Charadriidae,Not endemic
Lesser Crested Tern,Thalasseus bengalensis,Resident,Least Concern,Moderate,Low,Charadriiformes,Laridae,Not endemic
Lesser Coucal,Centropus bengalensis,Resident,Least Concern,Moderate,Low,Cuculiformes,Cuculidae,Not endemic
Lesser Black-backed Gull,Larus fuscus,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Laridae,Not endemic
Lesser Adjutant,Leptoptilos javanicus,Resident,Vulnerable,Moderate,Moderate,Ciconiiformes,Ciconiidae,Not endemic
Jerdon's Bushlark,Mirafra affinis,Resident,Least Concern,Large,Low,Passeriformes,Alaudidae,Not endemic
Laughing Dove,Streptopelia senegalensis,Resident,Least Concern,Very Large,Low,Columbiformes,Columbidae,Not endemic
Large-billed Leaf Warbler,Phylloscopus magnirostris,WinterMigrant,Least Concern,Moderate,Moderate,Passeriformes,Phylloscopidae,Not endemic
Large-billed Crow,Corvus macrorhynchos,Resident,Least Concern,Very Large,Low,Passeriformes,Corvidae,Not endemic
Large Hawk-Cuckoo,Hierococcyx sparverioides,WinterMigrant,Least Concern,Moderate,Low,Cuculiformes,Cuculidae,Not endemic
White-rumped Shama,Copsychus malabaricus,Resident,Least Concern,Large,Low,Passeriformes,Muscicapidae,Not endemic
Kentish Plover,Charadrius alexandrinus,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Charadriidae,Not endemic
Jerdon's Leafbird,Chloropsis jerdoni,Resident,Least Concern,Large,Moderate,Passeriformes,Chloropseidae,Not endemic
Jungle Babbler,Turdoides striata,Resident,Least Concern,Very Large,Low,Passeriformes,Leiothrichidae,Not endemic
Jungle Myna,Acridotheres fuscus,Resident,Least Concern,Large,Moderate,Passeriformes,Sturnidae,Not endemic
Jungle Bush-Quail,Perdicula asiatica,Resident,Least Concern,Large,Moderate,Galliformes,Phasianidae,Not endemic
Jungle Owlet,Glaucidium radiatum,Resident,Least Concern,Large,Low,Strigiformes,Strigidae,Not endemic
Jungle Prinia,Prinia sylvatica,Resident,Least Concern,Large,Low,Passeriformes,Cisticolidae,Not endemic
Large Grey Babbler,Turdoides malcolmi,Resident,Least Concern,Very Large,Low,Passeriformes,Leiothrichidae,Not endemic
Jerdon's Baza,Aviceda jerdoni,Resident,Least Concern,Moderate,Moderate,Accipitriformes,Accipitridae,Not endemic
Intermediate Egret,Ardea intermedia,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic
Indian Yellow Tit,Machlolophus aplonotus,Resident,Least Concern,Large,Low,Passeriformes,Paridae,Not endemic
Indian Thick-knee,Burhinus indicus,Resident,Least Concern,Large,Moderate,Charadriiformes,Burhinidae,Not endemic
Legge's Hawk-Eagle,Nisaetus kelaarti,Resident,Least Concern,Moderate,Moderate,Accipitriformes,Accipitridae,Western Ghats
Indian Spotted Eagle,Clanga hastata,WinterMigrant,Vulnerable,Large,Moderate,Accipitriformes,Accipitridae,Not endemic
Indian Spot-billed Duck,Anas poecilorhyncha,Resident,Least Concern,Very Large,Low,Anseriformes,Anatidae,Not endemic
Indian Silverbill,Euodice malabarica,Resident,Least Concern,Very Large,Low,Passeriformes,Estrildidae,Not endemic
Indian Scimitar-Babbler,Pomatorhinus horsfieldii,Resident,Least Concern,Large,Moderate,Passeriformes,Timaliidae,Not endemic
Indian Roller,Coracias benghalensis,Resident,Least Concern,Very Large,Low,Coraciiformes,Coraciidae,Not endemic
Indian Pond-Heron,Ardeola grayii,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic
Loten's Sunbird,Cinnyris lotenius,Resident,Least Concern,Large,Low,Passeriformes,Nectariniidae,Not endemic
Malabar Pied-Hornbill,Anthracoceros coronatus,Resident,Near Threatened,Moderate,Moderate,Bucerotiformes,Bucerotidae,Not endemic
Indian Paradise-Flycatcher,Terpsiphone paradisi,WinterMigrant,Least Concern,Large,Low,Passeriformes,Monarchidae,Not endemic
Malabar Trogon,Harpactes fasciatus,Resident,Least Concern,Moderate,Moderate,Trogoniformes,Trogonidae,Not endemic
Little Swift,Apus affinis,Resident,Least Concern,Very Large,Low,Caprimulgiformes,Apodidae,Not endemic
Orange Minivet,Pericrocotus flammeus,Resident,Least Concern,Moderate,Low,Passeriformes,Campephagidae,Western Ghats
Indian Golden Oriole,Oriolus kundoo,WinterMigrant,Least Concern,Large,Low,Passeriformes,Oriolidae,Not endemic
Indian Cuckoo,Cuculus micropterus,Resident,Least Concern,Large,Moderate,Cuculiformes,Cuculidae,Not endemic
Indian Cormorant,Phalacrocorax fuscicollis,Resident,Least Concern,Very Large,Low,Suliformes,Phalacrocoracidae,Not endemic
Indian Blue Robin,Larvivora brunnea,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Muscicapidae,Not endemic
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Resident,Least Concern,Large,Low,Passeriformes,Dicaeidae,Not endemic
House Sparrow,Passer domesticus,Resident,Least Concern,Very Large,Low,Passeriformes,Passeridae,Not endemic
House Crow,Corvus splendens,Resident,Least Concern,Very Large,Low,Passeriformes,Corvidae,Not endemic
Plum-headed Parakeet,Psittacula cyanocephala,Resident,Least Concern,Very Large,Low,Psittaciformes,Psittaculidae,Not endemic
Heart-spotted Woodpecker,Hemicircus canente,Resident,Least Concern,Moderate,High,Piciformes,Picidae,Not endemic
Hair-crested Drongo,Dicrurus hottentottus,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Dicruridae,Not endemic
Yellow-throated Sparrow,Gymnornis xanthocollis,Resident,Least Concern,Very Large,Low,Passeriformes,Passeridae,Not endemic
Gull-billed Tern,Gelochelidon nilotica,WinterMigrant,Least Concern,Restricted,High,Charadriiformes,Laridae,Not endemic
Grey-headed Lapwing,Vanellus cinereus,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Charadriidae,Not endemic
Grey-headed Canary-Flycatcher,Culicicapa ceylonensis,Resident,Least Concern,Moderate,Moderate,Passeriformes,Stenostiridae,Not endemic
Grey-headed Bulbul,Brachypodius priocephalus,Resident,Near Threatened,Moderate,Moderate,Passeriformes,Pycnonotidae,Western Ghats
Grey-fronted Green-Pigeon,Treron affinis,Resident,Least Concern,Moderate,Low,Columbiformes,Columbidae,Western Ghats
Grey-breasted Prinia,Prinia hodgsonii,Resident,Least Concern,Very Large,Low,Passeriformes,Cisticolidae,Not endemic
Purple-rumped Sunbird,Leptocoma zeylonica,Resident,Least Concern,Very Large,Low,Passeriformes,Nectariniidae,Not endemic
Grey Wagtail,Motacilla cinerea,WinterMigrant,Least Concern,Very Large,Low,Passeriformes,Motacillidae,Not endemic
Grey Junglefowl,Gallus sonneratii,Resident,Least Concern,Large,Low,Galliformes,Phasianidae,Not endemic
Grey Heron,Ardea cinerea,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic
Grey Francolin,Francolinus pondicerianus,Resident,Least Concern,Very Large,Low,Galliformes,Phasianidae,Not endemic
Green/Greenish Warbler,Phylloscopus trochiloides,WinterMigrant,Least Concern,Large,Moderate,Passeriformes,Phylloscopidae,Not endemic
Green Sandpiper,Tringa ochropus,WinterMigrant,Least Concern,Very Large,Moderate,Charadriiformes,Scolopacidae,Not endemic
Green Imperial-Pigeon,Ducula aenea,Resident,Least Concern,Moderate,Low,Columbiformes,Columbidae,Not endemic
Green Bee-eater,Merops orientalis,Resident,Least Concern,Very Large,Low,Coraciiformes,Meropidae,Not endemic
Greater Spotted Eagle,Clanga clanga,WinterMigrant,Vulnerable,Large,Moderate,Accipitriformes,Accipitridae,Not endemic
Greater Sand-Plover,Charadrius leschenaultii,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Charadriidae,Not endemic
Greater Racket-tailed Drongo,Dicrurus paradiseus,Resident,Least Concern,Large,Moderate,Passeriformes,Dicruridae,Not endemic
Greater Painted-Snipe,Rostratula benghalensis,Resident,Least Concern,Large,Moderate,Charadriiformes,Rostratulidae,Not endemic
Greater Flameback,Chrysocolaptes guttacristatus,Resident,Least Concern,Large,Low,Piciformes,Picidae,Not endemic
Greater Flamingo,Phoenicopterus roseus,WinterMigrant,Least Concern,Moderate,Low,Phoenicopteriformes,Phoenicopteridae,Not endemic
Great Crested Tern,Thalasseus bergii,Resident,Least Concern,Moderate,Low,Charadriiformes,Laridae,Not endemic
Greater Coucal,Centropus sinensis,Resident,Least Concern,Very Large,Low,Cuculiformes,Cuculidae,Not endemic
Great Thick-knee,Esacus recurvirostris,WinterMigrant,Near Threatened,Large,Moderate,Charadriiformes,Burhinidae,Not endemic
Great Hornbill,Buceros bicornis,Resident,Vulnerable,Moderate,Moderate,Bucerotiformes,Bucerotidae,Not endemic
Great Egret,Ardea alba,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic
Great Cormorant,Phalacrocorax carbo,Resident,Least Concern,Moderate,Low,Suliformes,Phalacrocoracidae,Not endemic
Golden-headed Cisticola,Cisticola exilis,Resident,Least Concern,Moderate,Moderate,Passeriformes,Cisticolidae,Not endemic
Golden-fronted Leafbird,Chloropsis aurifrons,Resident,Least Concern,Large,Low,Passeriformes,Chloropseidae,Not endemic
Glossy Ibis,Plegadis falcinellus,Resident,Least Concern,Large,Low,Pelecaniformes,Threskiornithidae,Not endemic
Wayanad Laughingthrush,Ianthocincla delesserti,Resident,Least Concern,Moderate,Moderate,Passeriformes,Leiothrichidae,Western Ghats
Garganey,Spatula querquedula,WinterMigrant,Least Concern,Large,Low,Anseriformes,Anatidae,Not endemic
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,WinterMigrant,Least Concern,Moderate,Low,Cuculiformes,Cuculidae,Not endemic
Forest Wagtail,Dendronanthus indicus,WinterMigrant,Least Concern,Moderate,High,Passeriformes,Motacillidae,Not endemic
Eurasian Wryneck,Jynx torquilla,WinterMigrant,Least Concern,Large,Low,Piciformes,Picidae,Not endemic
Eurasian Spoonbill,Platalea leucorodia,WinterMigrant,Least Concern,Moderate,Low,Pelecaniformes,Threskiornithidae,Not endemic
Eurasian Oystercatcher,Haematopus ostralegus,WinterMigrant,Near Threatened,Restricted,Moderate,Charadriiformes,Haematopodidae,Not endemic
Eurasian Marsh-Harrier,Circus aeruginosus,WinterMigrant,Least Concern,Large,Low,Accipitriformes,Accipitridae,Not endemic
Eurasian Kestrel,Falco tinnunculus,WinterMigrant,Least Concern,Moderate,Moderate,Falconiformes,Falconidae,Not endemic
Eurasian Hoopoe,Upupa epops,WinterMigrant,Least Concern,Large,Moderate,Bucerotiformes,Upupidae,Not endemic
Eurasian Curlew,Numenius arquata,WinterMigrant,Near Threatened,Moderate,Moderate,Charadriiformes,Scolopacidae,Not endemic
Eurasian Coot,Fulica atra,WinterMigrant,Least Concern,Large,Moderate,Gruiformes,Rallidae,Not endemic
Eurasian Collared-Dove,Streptopelia decaocto,Resident,Least Concern,Very Large,Low,Columbiformes,Columbidae,Not endemic
Dusky Crag-Martin,Ptyonoprogne concolor,Resident,Least Concern,Very Large,Low,Passeriformes,Hirundinidae,Not endemic
Oriental Dollarbird,Eurystomus orientalis,Resident,Least Concern,Moderate,Low,Coraciiformes,Coraciidae,Not endemic
Sirkeer Malkoha,Taccocua leschenaultii,Resident,Least Concern,Large,Moderate,Cuculiformes,Cuculidae,Not endemic
Curlew Sandpiper,Calidris ferruginea,WinterMigrant,Near Threatened,Moderate,Moderate,Charadriiformes,Scolopacidae,Not endemic
Crimson-backed Sunbird,Leptocoma minima,Resident,Least Concern,Moderate,Moderate,Passeriformes,Nectariniidae,Western Ghats
